------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,               1.1974
               -1.48,               1.1877
               -1.47,              1.17809
               -1.46,              1.16857
               -1.45,              1.15914
               -1.44,               1.1498
               -1.43,              1.14056
               -1.42,               1.1314
               -1.41,              1.12233
                -1.4,              1.11335
               -1.39,              1.10442
               -1.38,              1.09567
               -1.37,              1.08696
               -1.36,              1.07839
               -1.35,              1.06982
               -1.34,              1.06138
               -1.33,              1.05302
               -1.32,              1.04486
               -1.31,              1.03658
                -1.3,              1.02849
               -1.29,              1.02049
               -1.28,              1.01257
               -1.27,              1.00474
               -1.26,             0.996994
               -1.25,             0.989331
               -1.24,              0.98175
               -1.23,             0.974252
               -1.22,             0.966835
               -1.21,             0.959499
                -1.2,             0.952243
               -1.19,             0.945065
               -1.18,             0.937955
               -1.17,              0.93094
               -1.16,             0.923991
               -1.15,             0.917117
               -1.14,             0.910315
               -1.13,             0.903585
               -1.12,             0.896925
               -1.11,             0.890335
                -1.1,             0.883812
               -1.09,             0.877354
               -1.08,             0.870961
               -1.07,             0.864633
               -1.06,             0.858364
               -1.05,             0.852156
               -1.04,             0.846006
               -1.03,             0.839912
               -1.02,             0.833873
               -1.01,             0.827887
                  -1,             0.821952
               -0.99,             0.816065
               -0.98,             0.810227
               -0.97,             0.804429
               -0.96,             0.798683
               -0.95,             0.792974
               -0.94,               0.7873
               -0.93,              0.78167
               -0.92,             0.776071
               -0.91,             0.770506
                -0.9,             0.764968
               -0.89,              0.75946
               -0.88,             0.753977
               -0.87,             0.748517
               -0.86,             0.743079
               -0.85,             0.737655
               -0.84,             0.732248
               -0.83,             0.726853
               -0.82,             0.721468
               -0.81,             0.716091
                -0.8,             0.710714
               -0.79,             0.705339
               -0.78,             0.699962
               -0.77,             0.694578
               -0.76,             0.689186
               -0.75,             0.683778
               -0.74,             0.678355
               -0.73,             0.672911
               -0.72,             0.667442
               -0.71,             0.661945
                -0.7,             0.656415
               -0.69,             0.650848
               -0.68,              0.64524
               -0.67,             0.639588
               -0.66,             0.633886
               -0.65,             0.628127
               -0.64,             0.622304
               -0.63,             0.616411
               -0.62,              0.61044
               -0.61,             0.604383
                -0.6,             0.598231
               -0.59,             0.591974
               -0.58,             0.585605
               -0.57,              0.57911
               -0.56,             0.572478
               -0.55,             0.565698
               -0.54,             0.558756
               -0.53,             0.551637
               -0.52,             0.544326
               -0.51,             0.536807
                -0.5,             0.529062
               -0.49,             0.521073
               -0.48,             0.512819
               -0.47,             0.504283
               -0.46,             0.495442
               -0.45,             0.486277
               -0.44,             0.476768
               -0.43,             0.466897
               -0.42,              0.45665
               -0.41,             0.446016
                -0.4,             0.434989
