------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              4.39076
               -1.48,              4.36447
               -1.47,              4.33836
               -1.46,              4.31243
               -1.45,              4.28667
               -1.44,               4.2611
               -1.43,              4.23571
               -1.42,               4.2105
               -1.41,              4.18547
                -1.4,              4.16063
               -1.39,              4.13598
               -1.38,              4.11151
               -1.37,              4.08723
               -1.36,              4.06313
               -1.35,              4.03922
               -1.34,               4.0155
               -1.33,              3.99197
               -1.32,              3.96862
               -1.31,              3.94547
                -1.3,              3.92233
               -1.29,              3.89972
               -1.28,              3.87712
               -1.27,              3.85471
               -1.26,              3.83249
               -1.25,              3.81045
               -1.24,               3.7886
               -1.23,              3.76693
               -1.22,              3.74544
               -1.21,              3.72413
                -1.2,                3.703
               -1.19,              3.68205
               -1.18,              3.66127
               -1.17,              3.64066
               -1.16,              3.62022
               -1.15,              3.59995
               -1.14,              3.57984
               -1.13,              3.55989
               -1.12,               3.5401
               -1.11,              3.52047
                -1.1,              3.50098
               -1.09,              3.48165
               -1.08,              3.46246
               -1.07,               3.4434
               -1.06,              3.42449
               -1.05,               3.4057
               -1.04,              3.38709
               -1.03,               3.3685
               -1.02,              3.35007
               -1.01,              3.33176
                  -1,              3.31355
               -0.99,              3.29543
               -0.98,              3.27743
               -0.97,               3.2595
               -0.96,              3.24166
               -0.95,              3.22388
               -0.94,              3.20618
               -0.93,              3.18853
               -0.92,              3.17094
               -0.91,               3.1534
                -0.9,              3.13589
               -0.89,              3.11842
               -0.88,              3.10096
               -0.87,              3.08352
               -0.86,              3.06608
               -0.85,              3.04863
               -0.84,              3.03117
               -0.83,              3.01368
               -0.82,              2.99617
               -0.81,              2.97838
                -0.8,              2.96095
               -0.79,              2.94324
               -0.78,              2.92545
               -0.77,              2.90756
               -0.76,              2.88955
               -0.75,              2.87142
               -0.74,              2.85314
               -0.73,               2.8347
               -0.72,              2.81609
               -0.71,              2.79729
                -0.7,              2.77828
               -0.69,              2.75902
               -0.68,              2.73951
               -0.67,              2.71971
               -0.66,              2.69961
               -0.65,              2.67917
               -0.64,              2.65835
               -0.63,              2.63713
               -0.62,              2.61546
               -0.61,              2.59332
                -0.6,              2.57066
               -0.59,              2.54742
               -0.58,              2.52358
               -0.57,              2.49907
               -0.56,              2.47384
               -0.55,              2.44787
               -0.54,              2.42098
               -0.53,              2.39323
               -0.52,              2.36452
               -0.51,              2.33477
                -0.5,              2.30392
               -0.49,               2.2719
               -0.48,              2.23868
               -0.47,              2.20416
               -0.46,              2.16837
               -0.45,              2.13123
               -0.44,              2.09276
               -0.43,              2.05297
               -0.42,              2.01189
               -0.41,              1.96964
                -0.4,              1.92628
               -0.39,              1.88193
               -0.38,              1.83674
               -0.37,              1.79087
               -0.36,              1.74446
               -0.35,              1.69769
               -0.34,              1.65073
               -0.33,              1.60368
               -0.32,              1.55671
               -0.31,              1.50995
                -0.3,              1.46348
               -0.29,              1.41739
               -0.28,              1.37181
               -0.27,              1.32675
               -0.26,              1.28228
               -0.25,              1.23846
               -0.24,              1.19531
               -0.23,              1.15288
               -0.22,              1.11117
               -0.21,              1.07023
                -0.2,              1.03006
               -0.19,             0.990677
               -0.18,             0.952095
               -0.17,             0.914324
               -0.16,              0.87737
               -0.15,             0.841241
               -0.14,             0.805941
               -0.13,             0.771476
               -0.12,             0.737846
               -0.11,             0.705057
                -0.1,             0.673108
               -0.09,             0.642004
               -0.08,             0.611741
               -0.07,             0.582321
               -0.06,             0.553743
               -0.05,             0.526006
               -0.04,              0.49911
               -0.03,              0.47305
               -0.02,             0.447826
               -0.01,             0.423433
                   0,             0.399868
                0.01,             0.377128
                0.02,             0.355207
                0.03,               0.3341
                0.04,               0.3138
                0.05,             0.294303
                0.06,             0.275608
                0.07,             0.257682
                0.08,             0.240543
                0.09,             0.224171
                 0.1,             0.208558
                0.11,             0.193692
                0.12,             0.179605
                0.13,             0.166149
                0.14,             0.153446
                0.15,             0.141435
                0.16,               0.1301
                0.17,             0.119423
                0.18,             0.109385
                0.19,            0.0999663
                 0.2,            0.0911466
                0.21,            0.0829037
                0.22,            0.0752147
                0.23,            0.0680559
                0.24,            0.0614031
                0.25,            0.0552317
                0.26,            0.0495168
                0.27,            0.0442337
                0.28,             0.039358
                0.29,            0.0348662
                 0.3,            0.0307353
                0.31,             0.026944
                0.32,            0.0234721
                0.33,            0.0203015
                0.34,            0.0174159
                0.35,            0.0148009
                0.36,            0.0124405
                0.37,            0.0103252
                0.38,           0.00844842
                0.39,           0.00680504
                 0.4,           0.00538946
                0.41,           0.00419412
                0.42,           0.00320755
                0.43,           0.00241315
                0.44,           0.00178922
                0.45,           0.00131052
                0.46,          0.000950754
                0.47,          0.000684976
                0.48,           0.00049135
                0.49,          0.000351906
                 0.5,          0.000252561
                0.51,           0.00018269
                0.52,           0.00013455
                0.53,           0.00010271
                0.54,          8.35946e-05
                0.55,          7.51552e-05
                0.56,           7.6696e-05
                0.57,          8.88535e-05
                0.58,          0.000113747
                0.59,          0.000155337
                 0.6,          0.000220041
                0.61,          0.000317721
                0.62,          0.000463164
                0.63,          0.000678298
                0.64,          0.000995436
                0.65,           0.00146201
                0.66,           0.00214741
                0.67,           0.00315273
                0.68,           0.00462452
                0.69,           0.00677368
                 0.7,           0.00990058
                0.71,            0.0144266
                0.72,            0.0209305
                0.73,            0.0301838
                0.74,            0.0431728
                0.75,            0.0610892
                0.76,             0.085269
                0.77,              0.11707
                0.78,             0.157704
                0.79,              0.20808
                 0.8,               0.2687
                0.81,             0.339651
                0.82,             0.420679
                0.83,             0.511296
                0.84,             0.610892
                0.85,              0.71882
                0.86,             0.834458
                0.87,             0.957235
                0.88,              1.08665
                0.89,              1.22227
                 0.9,              1.36373
                0.91,              1.51072
                0.92,              1.66301
                0.93,              1.82038
                0.94,              1.98268
                0.95,              2.14977
                0.96,              2.32156
                0.97,              2.49796
                0.98,              2.67894
                0.99,              2.93398
                   1,               3.2406
                1.01,              3.54378
                1.02,              3.85087
                1.03,              4.16491
                1.04,              4.48764
                1.05,               4.8203
                1.06,              5.16375
                1.07,              5.51866
                1.08,              5.88557
                1.09,              6.26481
                 1.1,              6.65665
                1.11,              7.06118
                1.12,               7.4784
                1.13,              7.90815
                1.14,              8.35015
                1.15,              8.80402
                1.16,              9.26926
                1.17,              9.74528
                1.18,              10.2314
                1.19,               10.727
                 1.2,              11.2312
                1.21,              11.7434
                1.22,              12.2626
                1.23,              12.7883
                1.24,              13.3196
                1.25,              13.8559
                1.26,              14.3965
                1.27,              14.9408
                1.28,              15.4883
                1.29,              16.0384
                 1.3,              16.5907
                1.31,              17.1447
                1.32,              17.7001
                1.33,              18.2564
                1.34,              18.8134
                1.35,              19.3708
                1.36,              19.9284
                1.37,              20.4858
                1.38,              21.0429
                1.39,              21.5994
                 1.4,              22.1552
                1.41,              22.7102
                1.42,               23.264
                1.43,              23.8166
                1.44,              24.3676
                1.45,               24.917
                1.46,              25.4643
                1.47,              26.0092
                1.48,              26.5513
                1.49,                27.09

