------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              3.94547
               -1.48,              3.92233
               -1.47,              3.89972
               -1.46,              3.87712
               -1.45,              3.85471
               -1.44,              3.83249
               -1.43,              3.81045
               -1.42,               3.7886
               -1.41,              3.76693
                -1.4,              3.74544
               -1.39,              3.72413
               -1.38,                3.703
               -1.37,              3.68205
               -1.36,              3.66127
               -1.35,              3.64066
               -1.34,              3.62022
               -1.33,              3.59995
               -1.32,              3.57984
               -1.31,              3.55989
                -1.3,               3.5401
               -1.29,              3.52047
               -1.28,              3.50098
               -1.27,              3.48165
               -1.26,              3.46246
               -1.25,               3.4434
               -1.24,              3.42449
               -1.23,               3.4057
               -1.22,              3.38709
               -1.21,               3.3685
                -1.2,              3.35007
               -1.19,              3.33176
               -1.18,              3.31355
               -1.17,              3.29543
               -1.16,              3.27743
               -1.15,               3.2595
               -1.14,              3.24166
               -1.13,              3.22388
               -1.12,              3.20618
               -1.11,              3.18853
                -1.1,              3.17094
               -1.09,               3.1534
               -1.08,              3.13589
               -1.07,              3.11842
               -1.06,              3.10096
               -1.05,              3.08352
               -1.04,              3.06608
               -1.03,              3.04863
               -1.02,              3.03117
               -1.01,              3.01368
                  -1,              2.99617
               -0.99,              2.97838
               -0.98,              2.96095
               -0.97,              2.94324
               -0.96,              2.92545
               -0.95,              2.90756
               -0.94,              2.88955
               -0.93,              2.87142
               -0.92,              2.85314
               -0.91,               2.8347
                -0.9,              2.81609
               -0.89,              2.79729
               -0.88,              2.77828
               -0.87,              2.75902
               -0.86,              2.73951
               -0.85,              2.71971
               -0.84,              2.69961
               -0.83,              2.67917
               -0.82,              2.65835
               -0.81,              2.63713
                -0.8,              2.61546
               -0.79,              2.59332
               -0.78,              2.57066
               -0.77,              2.54742
               -0.76,              2.52358
               -0.75,              2.49907
               -0.74,              2.47384
               -0.73,              2.44787
               -0.72,              2.42098
               -0.71,              2.39323
                -0.7,              2.36452
               -0.69,              2.33477
               -0.68,              2.30392
               -0.67,               2.2719
               -0.66,              2.23868
               -0.65,              2.20416
               -0.64,              2.16837
               -0.63,              2.13123
               -0.62,              2.09276
               -0.61,              2.05297
                -0.6,              2.01189
               -0.59,              1.96964
               -0.58,              1.92628
               -0.57,              1.88193
               -0.56,              1.83674
               -0.55,              1.79087
               -0.54,              1.74446
               -0.53,              1.69769
               -0.52,              1.65073
               -0.51,              1.60368
                -0.5,              1.55671
               -0.49,              1.50995
               -0.48,              1.46348
               -0.47,              1.41739
               -0.46,              1.37181
               -0.45,              1.32675
               -0.44,              1.28228
               -0.43,              1.23846
               -0.42,              1.19531
               -0.41,              1.15288
                -0.4,              1.11117
               -0.39,              1.07023
               -0.38,              1.03006
               -0.37,             0.990677
               -0.36,             0.952095
               -0.35,             0.914324
               -0.34,              0.87737
               -0.33,             0.841241
               -0.32,             0.805941
               -0.31,             0.771476
                -0.3,             0.737846
               -0.29,             0.705057
               -0.28,             0.673108
               -0.27,             0.642004
               -0.26,             0.611741
               -0.25,             0.582321
               -0.24,             0.553743
               -0.23,             0.526006
               -0.22,              0.49911
               -0.21,              0.47305
                -0.2,             0.447826
               -0.19,             0.423433
               -0.18,             0.399868
               -0.17,             0.377128
               -0.16,             0.355207
               -0.15,               0.3341
               -0.14,               0.3138
               -0.13,             0.294303
               -0.12,             0.275608
               -0.11,             0.257682
                -0.1,             0.240543
               -0.09,             0.224171
               -0.08,             0.208558
               -0.07,             0.193692
               -0.06,             0.179605
               -0.05,             0.166149
               -0.04,             0.153446
               -0.03,             0.141435
               -0.02,               0.1301
               -0.01,             0.119423
                   0,             0.109385
                0.01,            0.0999663
                0.02,            0.0911466
                0.03,            0.0829037
                0.04,            0.0752147
                0.05,            0.0680559
                0.06,            0.0614031
                0.07,            0.0552317
                0.08,            0.0495168
                0.09,            0.0442337
                 0.1,             0.039358
                0.11,            0.0348662
                0.12,            0.0307353
                0.13,             0.026944
                0.14,            0.0234721
                0.15,            0.0203015
                0.16,            0.0174159
                0.17,            0.0148009
                0.18,            0.0124405
                0.19,            0.0103252
                 0.2,           0.00844842
                0.21,           0.00680504
                0.22,           0.00538946
                0.23,           0.00419412
                0.24,           0.00320755
                0.25,           0.00241315
                0.26,           0.00178922
