------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              4.51123
               -1.48,              4.48416
               -1.47,              4.45726
               -1.46,              4.43051
               -1.45,              4.40398
               -1.44,              4.37767
               -1.43,              4.35141
               -1.42,              4.32537
               -1.41,              4.29953
                -1.4,              4.27386
               -1.39,              4.24838
               -1.38,              4.22308
               -1.37,              4.19796
               -1.36,              4.17303
               -1.35,              4.14828
               -1.34,              4.12372
               -1.33,              4.09934
               -1.32,              4.07515
               -1.31,              4.05115
                -1.3,              4.02734
               -1.29,              4.00371
               -1.28,              3.98027
               -1.27,              3.95702
               -1.26,              3.93396
               -1.25,              3.91108
               -1.24,              3.88757
               -1.23,              3.86589
               -1.22,              3.84358
               -1.21,              3.82144
                -1.2,               3.7995
               -1.19,              3.77774
               -1.18,              3.75617
               -1.17,              3.73476
               -1.16,              3.71355
               -1.15,              3.69251
               -1.14,              3.67163
               -1.13,              3.65094
               -1.12,              3.63042
               -1.11,              3.61006
                -1.1,              3.58987
               -1.09,              3.56991
               -1.08,              3.54998
               -1.07,              3.53027
               -1.06,              3.51071
               -1.05,               3.4913
               -1.04,              3.47203
               -1.03,              3.45292
               -1.02,              3.43393
               -1.01,              3.41507
                  -1,              3.39635
               -0.99,              3.37775
               -0.98,              3.35927
               -0.97,               3.3409
               -0.96,              3.32283
               -0.95,              3.30448
               -0.94,              3.28643
               -0.93,              3.26845
               -0.92,              3.25057
               -0.91,              3.23276
                -0.9,              3.21502
               -0.89,              3.19735
               -0.88,              3.17973
               -0.87,              3.16217
               -0.86,              3.14464
               -0.85,              3.12715
               -0.84,              3.10969
               -0.83,              3.09224
               -0.82,               3.0748
               -0.81,              3.05735
                -0.8,              3.03996
               -0.79,              3.02243
               -0.78,              3.00511
               -0.77,              2.98738
               -0.76,              2.96977
               -0.75,              2.95211
               -0.74,              2.93436
               -0.73,              2.91652
               -0.72,              2.89857
               -0.71,              2.88055
                -0.7,               2.8623
               -0.69,              2.84394
               -0.68,              2.82542
               -0.67,              2.80672
               -0.66,              2.78781
               -0.65,              2.76868
               -0.64,               2.7493
               -0.63,              2.72965
               -0.62,               2.7097
               -0.61,              2.68943
                -0.6,               2.6688
               -0.59,              2.64779
               -0.58,              2.62635
               -0.57,              2.60446
               -0.56,              2.58206
               -0.55,              2.55911
               -0.54,              2.53558
               -0.53,              2.51141
               -0.52,              2.48655
               -0.51,              2.46093
                -0.5,              2.43451
               -0.49,              2.40722
               -0.48,                2.379
               -0.47,              2.34977
               -0.46,              2.31948
               -0.45,              2.28806
               -0.44,              2.25545
               -0.43,              2.22159
               -0.42,              2.18644
               -0.41,              2.14997
                -0.4,              2.11216
               -0.39,              2.07302
               -0.38,              2.03259
               -0.37,              1.99092
               -0.36,              1.94809
               -0.35,              1.90422
               -0.34,              1.85944
               -0.33,              1.81388
               -0.32,              1.76772
               -0.31,              1.72111
                -0.3,              1.67422
               -0.29,               1.6272
               -0.28,              1.58018
               -0.27,               1.5333
               -0.26,              1.48667
               -0.25,              1.44038
               -0.24,              1.39455
               -0.23,              1.34921
               -0.22,              1.30444
               -0.21,              1.26029
                -0.2,               1.2168
               -0.19,                1.174
               -0.18,              1.13193
               -0.17,              1.09061
               -0.16,              1.05005
               -0.15,              1.01027
               -0.14,             0.971285
               -0.13,             0.933112
               -0.12,             0.895744
               -0.11,             0.859202
                -0.1,             0.823487
               -0.09,             0.788605
               -0.08,             0.754556
               -0.07,             0.721347
               -0.06,             0.688971
               -0.05,             0.657451
               -0.04,             0.626766
               -0.03,             0.596925
               -0.02,             0.567927
               -0.01,              0.53977
                   0,             0.512453
                0.01,             0.485975
                0.02,             0.460334
                0.03,             0.435526
                0.04,             0.411548
                0.05,              0.38839
                0.06,             0.366077
                0.07,             0.344552
                0.08,             0.323849
                0.09,             0.303952
                 0.1,             0.284852
                0.11,             0.266543
                0.12,             0.249016
                0.13,             0.232262
                0.14,             0.216271
                0.15,             0.201032
                0.16,             0.186535
                0.17,             0.172765
                0.18,              0.15971
                0.19,             0.147355
                 0.2,             0.135684
                0.21,              0.12468
                0.22,             0.114325
                0.23,             0.104599
                0.24,            0.0954829
                0.25,            0.0869545
                0.26,            0.0789914
                0.27,            0.0715705
                0.28,            0.0646678
                0.29,            0.0582588
                 0.3,            0.0523187
                0.31,            0.0468228
                0.32,            0.0417464
                0.33,            0.0370656
                0.34,             0.032757
                0.35,            0.0287985
                0.36,            0.0251693
                0.37,            0.0218502
                0.38,             0.018824
                0.39,            0.0160755
                 0.4,            0.0135896
                0.41,            0.0113527
                0.42,            0.0093573
