------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              1.38168
               -1.48,              1.37049
               -1.47,              1.35931
               -1.46,              1.34822
               -1.45,              1.33721
               -1.44,               1.3263
               -1.43,              1.31547
               -1.42,              1.30473
               -1.41,              1.29408
                -1.4,              1.28352
               -1.39,              1.27305
               -1.38,              1.26267
               -1.37,              1.25238
               -1.36,              1.24218
               -1.35,              1.23207
               -1.34,              1.22205
               -1.33,              1.21213
               -1.32,              1.20229
               -1.31,              1.19254
                -1.3,              1.18284
               -1.29,              1.17332
               -1.28,              1.16385
               -1.27,              1.15446
               -1.26,              1.14517
               -1.25,              1.13597
               -1.24,              1.12685
               -1.23,              1.11783
               -1.22,               1.1089
               -1.21,              1.10006
                -1.2,              1.09131
               -1.19,              1.08264
               -1.18,              1.07407
               -1.17,              1.06559
               -1.16,              1.05719
               -1.15,              1.04888
               -1.14,              1.04066
               -1.13,              1.03253
               -1.12,              1.02448
               -1.11,              1.01652
                -1.1,              1.00865
               -1.09,              1.00086
               -1.08,             0.993152
               -1.07,              0.98553
               -1.06,             0.977991
               -1.05,             0.970533
               -1.04,             0.963157
               -1.03,             0.955861
               -1.02,             0.948644
               -1.01,             0.941505
                  -1,             0.934443
               -0.99,             0.927456
               -0.98,             0.920545
               -0.97,             0.913707
               -0.96,             0.906941
               -0.95,             0.900246
               -0.94,             0.893621
               -0.93,             0.887065
               -0.92,             0.880575
               -0.91,             0.874153
                -0.9,             0.867789
               -0.89,             0.861491
               -0.88,             0.855256
               -0.87,             0.849074
               -0.86,             0.842952
               -0.85,             0.836886
               -0.84,             0.830873
               -0.83,             0.824913
               -0.82,             0.819002
               -0.81,              0.81314
                -0.8,             0.807324
               -0.79,             0.801551
               -0.78,             0.795823
               -0.77,             0.790133
               -0.76,             0.784483
               -0.75,             0.778866
               -0.74,             0.773284
               -0.73,             0.767733
               -0.72,             0.762211
               -0.71,             0.756716
                -0.7,             0.751244
               -0.69,             0.745794
               -0.68,             0.740364
               -0.67,              0.73495
               -0.66,             0.729551
               -0.65,             0.724159
               -0.64,             0.718778
               -0.63,             0.713401
               -0.62,             0.708027
               -0.61,             0.702652
                -0.6,             0.697271
               -0.59,             0.691883
               -0.58,             0.686483
               -0.57,             0.681074
               -0.56,             0.675636
               -0.55,              0.67018
               -0.54,             0.664697
               -0.53,             0.659184
               -0.52,             0.653636
               -0.51,             0.648049
                -0.5,              0.64242
               -0.49,             0.636744
               -0.48,             0.631014
               -0.47,             0.625224
               -0.46,             0.619367
               -0.45,             0.613436
               -0.44,             0.607422
               -0.43,             0.601319
               -0.42,             0.595116
               -0.41,             0.588804
                -0.4,             0.582373
               -0.39,             0.575812
               -0.38,             0.569108
               -0.37,             0.562248
               -0.36,             0.555219
               -0.35,             0.548007
               -0.34,             0.540594
               -0.33,             0.532964
               -0.32,             0.525099
               -0.31,             0.516981
                -0.3,             0.508588
               -0.29,             0.499902
               -0.28,             0.490901
               -0.27,             0.481566
               -0.26,             0.471879
               -0.25,             0.461822
               -0.24,             0.451382
               -0.23,             0.440551
               -0.22,             0.429328
               -0.21,             0.417717
                -0.2,             0.405734
               -0.19,             0.393405
               -0.18,              0.38076
               -0.17,             0.367861
               -0.16,             0.354745
               -0.15,             0.341478
               -0.14,             0.328126
               -0.13,             0.314748
               -0.12,              0.30141
               -0.11,             0.288168
                -0.1,             0.275075
               -0.09,             0.262176
               -0.08,             0.249509
               -0.07,             0.237112
               -0.06,             0.225005
               -0.05,             0.213213
               -0.04,             0.201753
               -0.03,             0.190637
               -0.02,             0.179876
               -0.01,             0.169476
                   0,             0.159443
                0.01,             0.149778
                0.02,             0.140483
                0.03,             0.131559
                0.04,             0.123003
                0.05,             0.114813
                0.06,             0.106986
                0.07,            0.0995179
                0.08,            0.0924036
                0.09,            0.0856379
                 0.1,            0.0792144
                0.11,            0.0731267
                0.12,            0.0673678
                0.13,            0.0619301
                0.14,            0.0568055
                0.15,            0.0519858
                0.16,            0.0474629
                0.17,            0.0432259
                0.18,            0.0392674
                0.19,            0.0355772
                 0.2,            0.0321455
                0.21,            0.0289624
                0.22,            0.0260177
                0.23,            0.0233011
                0.24,            0.0208037
                0.25,            0.0185105
                0.26,            0.0164154
                0.27,            0.0145064
                0.28,            0.0127728
                0.29,            0.0112039
                 0.3,           0.00978935
                0.31,           0.00851859
                0.32,            0.0073813
                0.33,           0.00636736
                0.34,           0.00546686
                0.35,           0.00467017
                0.36,           0.00396803
                0.37,           0.00335162
                0.38,            0.0028126
                0.39,            0.0023432
                 0.4,           0.00193627
                0.41,           0.00158537
                0.42,           0.00128469
                0.43,           0.00102908
                0.44,          0.000813898
                0.45,          0.000635104
                0.46,          0.000488874
                0.47,          0.000371407
                0.48,          0.000278836
                0.49,          0.000207256
                 0.5,          0.000152872
                0.51,          0.000112196
                0.52,          8.21966e-05
                0.53,          6.03758e-05
                0.54,          4.47735e-05
                0.55,          3.39205e-05
                0.56,          2.67771e-05
                0.57,          2.26763e-05
                0.58,          2.12856e-05
                0.59,          2.25972e-05
                 0.6,          2.69534e-05
                0.61,          3.51156e-05
                0.62,          4.83915e-05
                0.63,          6.88407e-05
                0.64,          9.95912e-05
                0.65,          0.000145315
                0.66,          0.000212931
                0.67,           0.00031265
                0.68,          0.000459494
                0.69,           0.00067553
                 0.7,          0.000993118
                0.71,            0.0014596
                0.72,           0.00214406
                0.73,           0.00314683
                0.74,           0.00461282
                0.75,           0.00674941
                0.76,           0.00984966
                0.77,            0.0143203
                0.78,            0.0207111
                0.79,            0.0297393
                 0.8,            0.0422948
                0.81,            0.0594108
                0.82,            0.0821857
                0.83,              0.11166
                0.84,             0.148678
                0.85,              0.19378
                0.86,              0.24716
                0.87,               0.3087
                0.88,              0.37805
                0.89,             0.454722
                 0.9,             0.538171
                0.91,             0.627851
                0.92,             0.723253
                0.93,             0.823918
                0.94,             0.929445
                0.95,              1.03949
                0.96,              1.15377
                0.97,              1.27203
                0.98,              1.39407
                0.99,              1.51973
