------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              3.74544
               -1.48,              3.72413
               -1.47,                3.703
               -1.46,              3.68205
               -1.45,              3.66127
               -1.44,              3.64066
               -1.43,              3.62022
               -1.42,              3.59995
               -1.41,              3.57984
                -1.4,              3.55989
               -1.39,               3.5401
               -1.38,              3.52047
               -1.37,              3.50098
               -1.36,              3.48165
               -1.35,              3.46246
               -1.34,               3.4434
               -1.33,              3.42449
               -1.32,               3.4057
               -1.31,              3.38709
                -1.3,               3.3685
               -1.29,              3.35007
               -1.28,              3.33176
               -1.27,              3.31355
               -1.26,              3.29543
               -1.25,              3.27743
               -1.24,               3.2595
               -1.23,              3.24166
               -1.22,              3.22388
               -1.21,              3.20618
                -1.2,              3.18853
               -1.19,              3.17094
               -1.18,               3.1534
               -1.17,              3.13589
               -1.16,              3.11842
               -1.15,              3.10096
               -1.14,              3.08352
               -1.13,              3.06608
               -1.12,              3.04863
               -1.11,              3.03117
                -1.1,              3.01368
               -1.09,              2.99617
               -1.08,              2.97838
               -1.07,              2.96095
               -1.06,              2.94324
               -1.05,              2.92545
               -1.04,              2.90756
               -1.03,              2.88955
               -1.02,              2.87142
               -1.01,              2.85314
                  -1,               2.8347
               -0.99,              2.81609
               -0.98,              2.79729
               -0.97,              2.77828
               -0.96,              2.75902
               -0.95,              2.73951
               -0.94,              2.71971
               -0.93,              2.69961
               -0.92,              2.67917
               -0.91,              2.65835
                -0.9,              2.63713
               -0.89,              2.61546
               -0.88,              2.59332
               -0.87,              2.57066
               -0.86,              2.54742
               -0.85,              2.52358
               -0.84,              2.49907
               -0.83,              2.47384
               -0.82,              2.44787
               -0.81,              2.42098
                -0.8,              2.39323
               -0.79,              2.36452
               -0.78,              2.33477
               -0.77,              2.30392
               -0.76,               2.2719
               -0.75,              2.23868
               -0.74,              2.20416
               -0.73,              2.16837
               -0.72,              2.13123
               -0.71,              2.09276
                -0.7,              2.05297
               -0.69,              2.01189
               -0.68,              1.96964
               -0.67,              1.92628
               -0.66,              1.88193
               -0.65,              1.83674
               -0.64,              1.79087
               -0.63,              1.74446
               -0.62,              1.69769
               -0.61,              1.65073
                -0.6,              1.60368
               -0.59,              1.55671
               -0.58,              1.50995
               -0.57,              1.46348
               -0.56,              1.41739
               -0.55,              1.37181
               -0.54,              1.32675
               -0.53,              1.28228
               -0.52,              1.23846
               -0.51,              1.19531
                -0.5,              1.15288
               -0.49,              1.11117
               -0.48,              1.07023
               -0.47,              1.03006
               -0.46,             0.990677
               -0.45,             0.952095
               -0.44,             0.914324
               -0.43,              0.87737
               -0.42,             0.841241
               -0.41,             0.805941
                -0.4,             0.771476
               -0.39,             0.737846
               -0.38,             0.705057
               -0.37,             0.673108
               -0.36,             0.642004
               -0.35,             0.611741
               -0.34,             0.582321
               -0.33,             0.553743
               -0.32,             0.526006
               -0.31,              0.49911
                -0.3,              0.47305
               -0.29,             0.447826
               -0.28,             0.423433
               -0.27,             0.399868
               -0.26,             0.377128
               -0.25,             0.355207
               -0.24,               0.3341
               -0.23,               0.3138
               -0.22,             0.294303
               -0.21,             0.275608
                -0.2,             0.257682
               -0.19,             0.240543
               -0.18,             0.224171
               -0.17,             0.208558
               -0.16,             0.193692
               -0.15,             0.179605
               -0.14,             0.166149
               -0.13,             0.153446
               -0.12,             0.141435
               -0.11,               0.1301
                -0.1,             0.119423
               -0.09,             0.109385
               -0.08,            0.0999663
               -0.07,            0.0911466
               -0.06,            0.0829037
               -0.05,            0.0752147
               -0.04,            0.0680559
               -0.03,            0.0614031
               -0.02,            0.0552317
               -0.01,            0.0495168
                   0,            0.0442337
                0.01,             0.039358
                0.02,            0.0348662
                0.03,            0.0307353
                0.04,             0.026944
                0.05,            0.0234721
                0.06,            0.0203015
                0.07,            0.0174159
                0.08,            0.0148009
                0.09,            0.0124405
                 0.1,            0.0103252
                0.11,           0.00844842
                0.12,           0.00680504
                0.13,           0.00538946
                0.14,           0.00419412
                0.15,           0.00320755
                0.16,           0.00241315
                0.17,           0.00178922
                0.18,           0.00131052
                0.19,          0.000950754
                 0.2,          0.000684976
                0.21,           0.00049135
                0.22,          0.000351906
                0.23,          0.000252561
                0.24,           0.00018269
                0.25,           0.00013455
                0.26,           0.00010271
                0.27,          8.35946e-05
                0.28,          7.51552e-05
                0.29,           7.6696e-05
                 0.3,          8.88535e-05
                0.31,          0.000113747
                0.32,          0.000155337
                0.33,          0.000220041
                0.34,          0.000317721
                0.35,          0.000463164
                0.36,          0.000678298
                0.37,          0.000995436
                0.38,           0.00146201
                0.39,           0.00214741
                 0.4,           0.00315273
                0.41,           0.00462452
                0.42,           0.00677368
                0.43,           0.00990058
                0.44,            0.0144266
                0.45,            0.0209305
                0.46,            0.0301838
                0.47,            0.0431728
                0.48,            0.0610892
                0.49,             0.085269
                 0.5,              0.11707
                0.51,             0.157704
                0.52,              0.20808
                0.53,               0.2687
                0.54,             0.339651
                0.55,             0.420679
                0.56,             0.511296
                0.57,             0.610892
                0.58,              0.71882
                0.59,             0.834458
                 0.6,             0.957235
                0.61,              1.08665
                0.62,              1.22227
                0.63,              1.36373
                0.64,              1.51072
                0.65,              1.66301
                0.66,              1.82038
                0.67,              1.98268
                0.68,              2.14977
                0.69,              2.32156
                 0.7,              2.49796
                0.71,              2.67894
                0.72,              2.93398
                0.73,               3.2406
                0.74,              3.54378
                0.75,              3.85087
                0.76,              4.16491
                0.77,              4.48764
                0.78,               4.8203
                0.79,              5.16375
                 0.8,              5.51866
                0.81,              5.88557
                0.82,              6.26481
                0.83,              6.65665
                0.84,              7.06118
                0.85,               7.4784
                0.86,              7.90815
                0.87,              8.35015
                0.88,              8.80402
                0.89,              9.26926
                 0.9,              9.74528
                0.91,              10.2314
                0.92,               10.727
                0.93,              11.2312
                0.94,              11.7434
                0.95,              12.2626
                0.96,              12.7883
                0.97,              13.3196
                0.98,              13.8559
                0.99,              14.3965
                   1,              14.9408
                1.01,              15.4883
                1.02,              16.0384
                1.03,              16.5907
                1.04,              17.1447
                1.05,              17.7001
                1.06,              18.2564
                1.07,              18.8134
                1.08,              19.3708
                1.09,              19.9284
                 1.1,              20.4858
                1.11,              21.0429
                1.12,              21.5994
                1.13,              22.1552
                1.14,              22.7102
                1.15,               23.264
                1.16,              23.8166
                1.17,              24.3676
                1.18,               24.917
                1.19,              25.4643
                 1.2,              26.0092
                1.21,              26.5513
                1.22,                27.09
                1.23,              27.6245
                1.24,              28.1537
                1.25,              28.6764
                1.26,              29.1909
                1.27,              29.6951
                1.28,              30.1866
                1.29,              30.6625
                 1.3,              31.1201
                1.31,              31.5563
                1.32,               31.969
                1.33,              32.3563
                1.34,              32.7175
                1.35,              33.0527
                1.36,              33.3627
                1.37,               33.649
                1.38,              33.9134
                1.39,              34.1578
                 1.4,              34.3842
                1.41,              34.5945
                1.42,              34.7905
                1.43,              34.9736
                1.44,              35.1454
                1.45,               35.307
                1.46,              35.4596
                1.47,              35.6042
                1.48,              35.7415
                1.49,              35.8723

