------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              1.22705
               -1.48,              1.21708
               -1.47,               1.2072
               -1.46,               1.1974
               -1.45,               1.1877
               -1.44,              1.17809
               -1.43,              1.16857
               -1.42,              1.15914
               -1.41,               1.1498
                -1.4,              1.14056
               -1.39,               1.1314
               -1.38,              1.12233
               -1.37,              1.11335
               -1.36,              1.10442
               -1.35,              1.09567
               -1.34,              1.08696
               -1.33,              1.07839
               -1.32,              1.06982
               -1.31,              1.06138
                -1.3,              1.05302
               -1.29,              1.04486
               -1.28,              1.03658
               -1.27,              1.02849
               -1.26,              1.02049
               -1.25,              1.01257
               -1.24,              1.00474
               -1.23,             0.996994
               -1.22,             0.989331
               -1.21,              0.98175
                -1.2,             0.974252
               -1.19,             0.966835
               -1.18,             0.959499
               -1.17,             0.952243
               -1.16,             0.945065
               -1.15,             0.937955
               -1.14,              0.93094
               -1.13,             0.923991
               -1.12,             0.917117
               -1.11,             0.910315
                -1.1,             0.903585
               -1.09,             0.896925
               -1.08,             0.890335
               -1.07,             0.883812
               -1.06,             0.877354
               -1.05,             0.870961
               -1.04,             0.864633
               -1.03,             0.858364
               -1.02,             0.852156
               -1.01,             0.846006
                  -1,             0.839912
               -0.99,             0.833873
               -0.98,             0.827887
               -0.97,             0.821952
               -0.96,             0.816065
               -0.95,             0.810227
               -0.94,             0.804429
               -0.93,             0.798683
               -0.92,             0.792974
               -0.91,               0.7873
                -0.9,              0.78167
               -0.89,             0.776071
               -0.88,             0.770506
               -0.87,             0.764968
               -0.86,              0.75946
               -0.85,             0.753977
               -0.84,             0.748517
               -0.83,             0.743079
               -0.82,             0.737655
               -0.81,             0.732248
                -0.8,             0.726853
               -0.79,             0.721468
               -0.78,             0.716091
               -0.77,             0.710714
               -0.76,             0.705339
               -0.75,             0.699962
               -0.74,             0.694578
               -0.73,             0.689186
               -0.72,             0.683778
               -0.71,             0.678355
                -0.7,             0.672911
               -0.69,             0.667442
               -0.68,             0.661945
               -0.67,             0.656415
               -0.66,             0.650848
               -0.65,              0.64524
               -0.64,             0.639588
               -0.63,             0.633886
               -0.62,             0.628127
               -0.61,             0.622304
                -0.6,             0.616411
               -0.59,              0.61044
               -0.58,             0.604383
               -0.57,             0.598231
               -0.56,             0.591974
               -0.55,             0.585605
               -0.54,              0.57911
               -0.53,             0.572478
               -0.52,             0.565698
               -0.51,             0.558756
                -0.5,             0.551637
               -0.49,             0.544326
               -0.48,             0.536807
               -0.47,             0.529062
               -0.46,             0.521073
               -0.45,             0.512819
               -0.44,             0.504283
               -0.43,             0.495442
               -0.42,             0.486277
               -0.41,             0.476768
                -0.4,             0.466897
               -0.39,              0.45665
               -0.38,             0.446016
               -0.37,             0.434989
               -0.36,              0.42357
               -0.35,             0.411771
               -0.34,             0.399612
               -0.33,             0.387121
               -0.32,             0.374343
               -0.31,             0.361326
                -0.3,             0.348126
               -0.29,             0.334809
               -0.28,             0.321435
               -0.27,              0.30807
               -0.26,             0.294774
