------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              3.84358
               -1.48,              3.82144
               -1.47,               3.7995
               -1.46,              3.77774
               -1.45,              3.75617
               -1.44,              3.73476
               -1.43,              3.71355
               -1.42,              3.69251
               -1.41,              3.67163
                -1.4,              3.65094
               -1.39,              3.63042
               -1.38,              3.61006
               -1.37,              3.58987
               -1.36,              3.56991
               -1.35,              3.54998
               -1.34,              3.53027
               -1.33,              3.51071
               -1.32,               3.4913
               -1.31,              3.47203
                -1.3,              3.45292
               -1.29,              3.43393
               -1.28,              3.41507
               -1.27,              3.39635
               -1.26,              3.37775
               -1.25,              3.35927
               -1.24,               3.3409
               -1.23,              3.32283
               -1.22,              3.30448
               -1.21,              3.28643
                -1.2,              3.26845
               -1.19,              3.25057
               -1.18,              3.23276
               -1.17,              3.21502
               -1.16,              3.19735
               -1.15,              3.17973
               -1.14,              3.16217
               -1.13,              3.14464
               -1.12,              3.12715
               -1.11,              3.10969
                -1.1,              3.09224
               -1.09,               3.0748
               -1.08,              3.05735
               -1.07,              3.03996
               -1.06,              3.02243
               -1.05,              3.00511
               -1.04,              2.98738
               -1.03,              2.96977
               -1.02,              2.95211
               -1.01,              2.93436
                  -1,              2.91652
               -0.99,              2.89857
               -0.98,              2.88055
               -0.97,               2.8623
               -0.96,              2.84394
               -0.95,              2.82542
               -0.94,              2.80672
               -0.93,              2.78781
               -0.92,              2.76868
               -0.91,               2.7493
                -0.9,              2.72965
               -0.89,               2.7097
               -0.88,              2.68943
               -0.87,               2.6688
               -0.86,              2.64779
               -0.85,              2.62635
               -0.84,              2.60446
               -0.83,              2.58206
               -0.82,              2.55911
               -0.81,              2.53558
                -0.8,              2.51141
               -0.79,              2.48655
               -0.78,              2.46093
               -0.77,              2.43451
               -0.76,              2.40722
               -0.75,                2.379
               -0.74,              2.34977
               -0.73,              2.31948
               -0.72,              2.28806
               -0.71,              2.25545
                -0.7,              2.22159
               -0.69,              2.18644
               -0.68,              2.14997
               -0.67,              2.11216
               -0.66,              2.07302
               -0.65,              2.03259
               -0.64,              1.99092
               -0.63,              1.94809
               -0.62,              1.90422
               -0.61,              1.85944
                -0.6,              1.81388
               -0.59,              1.76772
               -0.58,              1.72111
               -0.57,              1.67422
               -0.56,               1.6272
               -0.55,              1.58018
               -0.54,               1.5333
               -0.53,              1.48667
               -0.52,              1.44038
               -0.51,              1.39455
                -0.5,              1.34921
               -0.49,              1.30444
               -0.48,              1.26029
               -0.47,               1.2168
               -0.46,                1.174
               -0.45,              1.13193
               -0.44,              1.09061
               -0.43,              1.05005
               -0.42,              1.01027
               -0.41,             0.971285
                -0.4,             0.933112
               -0.39,             0.895744
               -0.38,             0.859202
               -0.37,             0.823487
               -0.36,             0.788605
               -0.35,             0.754556
               -0.34,             0.721347
               -0.33,             0.688971
               -0.32,             0.657451
               -0.31,             0.626766
                -0.3,             0.596925
               -0.29,             0.567927
               -0.28,              0.53977
               -0.27,             0.512453
               -0.26,             0.485975
               -0.25,             0.460334
               -0.24,             0.435526
               -0.23,             0.411548
               -0.22,              0.38839
               -0.21,             0.366077
                -0.2,             0.344552
               -0.19,             0.323849
               -0.18,             0.303952
               -0.17,             0.284852
               -0.16,             0.266543
               -0.15,             0.249016
               -0.14,             0.232262
               -0.13,             0.216271
               -0.12,             0.201032
               -0.11,             0.186535
                -0.1,             0.172765
               -0.09,              0.15971
               -0.08,             0.147355
               -0.07,             0.135684
               -0.06,              0.12468
               -0.05,             0.114325
               -0.04,             0.104599
               -0.03,            0.0954829
               -0.02,            0.0869545
               -0.01,            0.0789914
                   0,            0.0715705
                0.01,            0.0646678
                0.02,            0.0582588
                0.03,            0.0523187
                0.04,            0.0468228
                0.05,            0.0417464
