------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              4.76235
               -1.48,               4.7338
               -1.47,              4.70541
               -1.46,              4.67718
               -1.45,              4.64911
               -1.44,               4.6212
               -1.43,              4.59346
               -1.42,              4.56588
               -1.41,              4.53847
                -1.4,              4.51123
               -1.39,              4.48416
               -1.38,              4.45726
               -1.37,              4.43051
               -1.36,              4.40398
               -1.35,              4.37767
               -1.34,              4.35141
               -1.33,              4.32537
               -1.32,              4.29953
               -1.31,              4.27386
                -1.3,              4.24838
               -1.29,              4.22308
               -1.28,              4.19796
               -1.27,              4.17303
               -1.26,              4.14828
               -1.25,              4.12372
               -1.24,              4.09934
               -1.23,              4.07515
               -1.22,              4.05115
               -1.21,              4.02734
                -1.2,              4.00371
               -1.19,              3.98027
               -1.18,              3.95702
               -1.17,              3.93396
               -1.16,              3.91108
               -1.15,              3.88757
               -1.14,              3.86589
               -1.13,              3.84358
               -1.12,              3.82144
               -1.11,               3.7995
                -1.1,              3.77774
               -1.09,              3.75617
               -1.08,              3.73476
               -1.07,              3.71355
               -1.06,              3.69251
               -1.05,              3.67163
               -1.04,              3.65094
               -1.03,              3.63042
               -1.02,              3.61006
               -1.01,              3.58987
                  -1,              3.56991
               -0.99,              3.54998
               -0.98,              3.53027
               -0.97,              3.51071
               -0.96,               3.4913
               -0.95,              3.47203
               -0.94,              3.45292
               -0.93,              3.43393
               -0.92,              3.41507
               -0.91,              3.39635
                -0.9,              3.37775
               -0.89,              3.35927
               -0.88,               3.3409
               -0.87,              3.32283
               -0.86,              3.30448
               -0.85,              3.28643
               -0.84,              3.26845
               -0.83,              3.25057
               -0.82,              3.23276
               -0.81,              3.21502
                -0.8,              3.19735
               -0.79,              3.17973
               -0.78,              3.16217
               -0.77,              3.14464
               -0.76,              3.12715
               -0.75,              3.10969
               -0.74,              3.09224
               -0.73,               3.0748
               -0.72,              3.05735
               -0.71,              3.03996
                -0.7,              3.02243
               -0.69,              3.00511
               -0.68,              2.98738
               -0.67,              2.96977
               -0.66,              2.95211
               -0.65,              2.93436
               -0.64,              2.91652
               -0.63,              2.89857
               -0.62,              2.88055
               -0.61,               2.8623
                -0.6,              2.84394
               -0.59,              2.82542
               -0.58,              2.80672
               -0.57,              2.78781
               -0.56,              2.76868
               -0.55,               2.7493
               -0.54,              2.72965
               -0.53,               2.7097
               -0.52,              2.68943
               -0.51,               2.6688
                -0.5,              2.64779
               -0.49,              2.62635
               -0.48,              2.60446
               -0.47,              2.58206
               -0.46,              2.55911
               -0.45,              2.53558
               -0.44,              2.51141
               -0.43,              2.48655
               -0.42,              2.46093
               -0.41,              2.43451
                -0.4,              2.40722
               -0.39,                2.379
               -0.38,              2.34977
               -0.37,              2.31948
               -0.36,              2.28806
               -0.35,              2.25545
               -0.34,              2.22159
               -0.33,              2.18644
               -0.32,              2.14997
               -0.31,              2.11216
                -0.3,              2.07302
               -0.29,              2.03259
               -0.28,              1.99092
               -0.27,              1.94809
               -0.26,              1.90422
               -0.25,              1.85944
               -0.24,              1.81388
               -0.23,              1.76772
               -0.22,              1.72111
               -0.21,              1.67422
                -0.2,               1.6272
               -0.19,              1.58018
               -0.18,               1.5333
               -0.17,              1.48667
               -0.16,              1.44038
               -0.15,              1.39455
               -0.14,              1.34921
               -0.13,              1.30444
               -0.12,              1.26029
               -0.11,               1.2168
                -0.1,                1.174
               -0.09,              1.13193
               -0.08,              1.09061
               -0.07,              1.05005
               -0.06,              1.01027
               -0.05,             0.971285
               -0.04,             0.933112
               -0.03,             0.895744
               -0.02,             0.859202
               -0.01,             0.823487
                   0,             0.788605
                0.01,             0.754556
                0.02,             0.721347
                0.03,             0.688971
                0.04,             0.657451
                0.05,             0.626766
                0.06,             0.596925
                0.07,             0.567927
                0.08,              0.53977
                0.09,             0.512453
                 0.1,             0.485975
                0.11,             0.460334
                0.12,             0.435526
                0.13,             0.411548
                0.14,              0.38839
                0.15,             0.366077
                0.16,             0.344552
                0.17,             0.323849
                0.18,             0.303952
                0.19,             0.284852
                 0.2,             0.266543
                0.21,             0.249016
                0.22,             0.232262
                0.23,             0.216271
                0.24,             0.201032
                0.25,             0.186535
                0.26,             0.172765
                0.27,              0.15971
                0.28,             0.147355
                0.29,             0.135684
                 0.3,              0.12468
                0.31,             0.114325
                0.32,             0.104599
                0.33,            0.0954829
                0.34,            0.0869545
                0.35,            0.0789914
                0.36,            0.0715705
                0.37,            0.0646678
                0.38,            0.0582588
                0.39,            0.0523187
                 0.4,            0.0468228
                0.41,            0.0417464
                0.42,            0.0370656
                0.43,             0.032757
                0.44,            0.0287985
                0.45,            0.0251693
                0.46,            0.0218502
                0.47,             0.018824
                0.48,            0.0160755
                0.49,            0.0135896
                 0.5,            0.0113527
                0.51,            0.0093573
                0.52,           0.00759788
                0.53,           0.00606917
                0.54,           0.00476486
                0.55,           0.00367565
                0.56,           0.00278758
                0.57,           0.00208139
                0.58,           0.00153336
                0.59,           0.00111739
                 0.6,          0.000807567
                0.61,          0.000580361
                0.62,          0.000415823
                0.63,           0.00029796
                0.64,          0.000214486
                0.65,          0.000156291
                0.66,          0.000116855
                0.67,          9.17228e-05
                0.68,          7.81146e-05
                0.69,          7.46704e-05
                 0.7,           8.1353e-05
                0.71,          9.95098e-05
                0.72,          0.000132121
                0.73,          0.000184278
                0.74,          0.000263972
                0.75,          0.000383301
                0.76,           0.00056029
                0.77,          0.000821574
                0.78,           0.00120632
                0.79,           0.00177192
                 0.8,           0.00260218
                0.81,            0.0038189
                0.82,           0.00559809
                0.83,           0.00819183
                0.84,            0.0119567
                0.85,             0.017388
                0.86,             0.025157
                0.87,            0.0361412
                0.88,            0.0514338
                0.89,              0.07231
                 0.9,             0.100135
                0.91,             0.136217
                0.92,             0.181633
                0.93,             0.237095
                0.94,             0.302893
                0.95,             0.378932
                0.96,             0.464825
                0.97,             0.560012
                0.98,             0.663854
                0.99,             0.775713
                   1,             0.894987
                1.01,              1.02114
                1.02,              1.15371
                1.03,              1.29229
                1.04,              1.43655
                1.05,              1.58622
                1.06,              1.74107
                1.07,              1.90092
                1.08,              2.06563
                1.09,              2.23508
                 1.1,              2.40919
                1.11,              2.58788
                1.12,              2.77113
                1.13,               3.0886
                1.14,              3.39198
                1.15,              3.69658
                1.16,              4.00688
                1.17,              4.32509
                1.18,              4.65267
                1.19,              4.99061
                 1.2,              5.33974
                1.21,              5.70056
                1.22,              6.07362
                1.23,              6.45915
                1.24,              6.85732
                1.25,              7.26821
