------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              8.56768
               -1.48,              8.50775
               -1.47,               8.4478
               -1.46,              8.38776
               -1.45,               8.3277
               -1.44,              8.26762
               -1.43,               8.2075
               -1.42,              8.14736
               -1.41,              8.08721
                -1.4,              8.02704
               -1.39,              7.96687
               -1.38,              7.90678
               -1.37,              7.84654
               -1.36,              7.78639
               -1.35,              7.72625
               -1.34,              7.66608
               -1.33,              7.60606
               -1.32,              7.54602
               -1.31,              7.48603
                -1.3,               7.4261
               -1.29,              7.36623
               -1.28,              7.30643
               -1.27,              7.24671
               -1.26,              7.18708
               -1.25,              7.12755
               -1.24,              7.06814
               -1.23,              7.00885
               -1.22,              6.94968
               -1.21,              6.89065
                -1.2,              6.83179
               -1.19,              6.77309
               -1.18,              6.71458
               -1.17,              6.65624
               -1.16,              6.59812
               -1.15,              6.54021
               -1.14,              6.48254
               -1.13,               6.4251
               -1.12,              6.36787
               -1.11,              6.31104
                -1.1,              6.25443
               -1.09,              6.19812
               -1.08,               6.1421
               -1.07,              6.08643
               -1.06,              6.03107
               -1.05,              5.97605
               -1.04,              5.92142
               -1.03,              5.86712
               -1.02,              5.81319
               -1.01,              5.75963
                  -1,              5.70647
               -0.99,              5.65368
               -0.98,              5.60127
               -0.97,              5.54927
               -0.96,              5.49762
               -0.95,              5.44638
               -0.94,              5.39551
               -0.93,              5.34505
               -0.92,              5.29494
               -0.91,              5.24524
                -0.9,              5.19587
               -0.89,              5.14688
               -0.88,              5.09825
               -0.87,              5.04997
               -0.86,                5.002
               -0.85,              4.95439
               -0.84,                4.907
               -0.83,              4.85992
               -0.82,              4.81306
               -0.81,               4.7664
                -0.8,               4.7199
               -0.79,               4.6735
               -0.78,              4.62714
               -0.77,              4.58077
               -0.76,               4.5343
               -0.75,              4.48766
               -0.74,              4.44076
               -0.73,              4.39351
               -0.72,              4.34578
               -0.71,              4.29747
                -0.7,              4.24845
               -0.69,              4.19858
               -0.68,              4.14776
               -0.67,               4.0958
               -0.66,              4.04253
               -0.65,              3.98773
               -0.64,              3.93117
               -0.63,              3.87272
               -0.62,              3.81206
               -0.61,                3.749
                -0.6,              3.68333
               -0.59,              3.61488
               -0.58,               3.5435
               -0.57,              3.46915
               -0.56,              3.39184
               -0.55,              3.31167
               -0.54,              3.22884
               -0.53,              3.14366
               -0.52,              3.05647
               -0.51,              2.96768
                -0.5,               2.8777
               -0.49,              2.78694
               -0.48,              2.69577
               -0.47,              2.60453
               -0.46,              2.51351
               -0.45,              2.42296
               -0.44,              2.33308
               -0.43,              2.24406
               -0.42,              2.15603
               -0.41,               2.0691
                -0.4,              1.98339
               -0.39,              1.89897
               -0.38,              1.81592
               -0.37,               1.7343
               -0.36,              1.65417
               -0.35,              1.57558
               -0.34,              1.49858
               -0.33,              1.42321
               -0.32,              1.34952
               -0.31,              1.27754
                -0.3,              1.20732
               -0.29,              1.13889
               -0.28,              1.07228
               -0.27,              1.00755
               -0.26,             0.944706
               -0.25,             0.883788
               -0.24,             0.824832
               -0.23,              0.76786
               -0.22,              0.71292
               -0.21,             0.660018
                -0.2,             0.609187
               -0.19,             0.560453
               -0.18,             0.513838
               -0.17,             0.469363
               -0.16,             0.427049
               -0.15,             0.386916
               -0.14,             0.348981
               -0.13,             0.313261
               -0.12,             0.279774
               -0.11,             0.248537
                -0.1,             0.219573
               -0.09,             0.192904
               -0.08,             0.168563
               -0.07,             0.146594
               -0.06,             0.127059
               -0.05,             0.110048
               -0.04,            0.0956936
               -0.03,            0.0841902
               -0.02,            0.0758205
               -0.01,            0.0709895
                   0,            0.0702629
                0.01,            0.0743976
                0.02,            0.0843342
                0.03,             0.101253
                0.04,             0.126458
                0.05,             0.161204
                0.06,             0.206532
                0.07,              0.26314
                0.08,             0.331328
                0.09,             0.411043
                 0.1,             0.501973
                0.11,             0.603655
                0.12,             0.715569
                0.13,              0.83721
                0.14,             0.968118
                0.15,               1.1079
                0.16,              1.25624
                0.17,              1.42658
                0.18,              1.65512
                0.19,              1.88206
                 0.2,              2.11521
                0.21,              2.35672
                0.22,              2.60738
                0.23,               2.8674
                0.24,              3.13658
                0.25,              3.41444
                0.26,              3.70034
                0.27,              3.99344
                0.28,              4.29286
                0.29,              4.59767
                 0.3,              4.90693
                0.31,              5.21977
                0.32,              5.53537
                0.33,                5.853
                0.34,              6.17202
                0.35,              6.49186
                0.36,              6.81205
                0.37,               7.1322
                0.38,              7.45196
                0.39,              7.77107
                 0.4,              8.08929
                0.41,              8.40645
                0.42,              8.72239
                0.43,                9.037
                0.44,              9.35019
                0.45,              9.66188
                0.46,              9.97202
                0.47,              10.2806
                0.48,              10.5875
                0.49,              10.8927
                 0.5,              11.1962
                0.51,              11.4981
