------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
                1.24,              20.0042
                1.25,              20.0641
                1.26,              20.1244
                1.27,              20.1851
                1.28,              20.2462
                1.29,              20.3076
                 1.3,              20.3695
                1.31,              20.4318
                1.32,              20.4945
                1.33,              20.5577
                1.34,              20.6212
                1.35,              20.6852
                1.36,              20.7495
                1.37,              20.8143
                1.38,              20.8794
                1.39,              20.9449
                 1.4,              21.0107
                1.41,              21.0769
                1.42,              21.1434
                1.43,              21.2103
                1.44,              21.2774
                1.45,              21.3448
                1.46,              21.4125
                1.47,              21.4804
                1.48,              21.5486
                1.49,               21.617

