------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              5.70647
               -1.48,              5.65368
               -1.47,              5.60127
               -1.46,              5.54927
               -1.45,              5.49762
               -1.44,              5.44638
               -1.43,              5.39551
               -1.42,              5.34505
               -1.41,              5.29494
                -1.4,              5.24524
               -1.39,              5.19587
               -1.38,              5.14688
               -1.37,              5.09825
               -1.36,              5.04997
               -1.35,                5.002
               -1.34,              4.95439
               -1.33,                4.907
               -1.32,              4.85992
               -1.31,              4.81306
                -1.3,               4.7664
               -1.29,               4.7199
               -1.28,               4.6735
               -1.27,              4.62714
               -1.26,              4.58077
               -1.25,               4.5343
               -1.24,              4.48766
               -1.23,              4.44076
               -1.22,              4.39351
               -1.21,              4.34578
                -1.2,              4.29747
               -1.19,              4.24845
               -1.18,              4.19858
               -1.17,              4.14776
               -1.16,               4.0958
               -1.15,              4.04253
               -1.14,              3.98773
               -1.13,              3.93117
               -1.12,              3.87272
               -1.11,              3.81206
                -1.1,                3.749
               -1.09,              3.68333
               -1.08,              3.61488
               -1.07,               3.5435
               -1.06,              3.46915
               -1.05,              3.39184
               -1.04,              3.31167
               -1.03,              3.22884
               -1.02,              3.14366
               -1.01,              3.05647
                  -1,              2.96768
               -0.99,               2.8777
               -0.98,              2.78694
               -0.97,              2.69577
               -0.96,              2.60453
               -0.95,              2.51351
               -0.94,              2.42296
               -0.93,              2.33308
               -0.92,              2.24406
               -0.91,              2.15603
                -0.9,               2.0691
               -0.89,              1.98339
               -0.88,              1.89897
               -0.87,              1.81592
               -0.86,               1.7343
               -0.85,              1.65417
               -0.84,              1.57558
               -0.83,              1.49858
               -0.82,              1.42321
               -0.81,              1.34952
                -0.8,              1.27754
               -0.79,              1.20732
               -0.78,              1.13889
               -0.77,              1.07228
               -0.76,              1.00755
               -0.75,             0.944706
               -0.74,             0.883788
               -0.73,             0.824832
               -0.72,              0.76786
               -0.71,              0.71292
                -0.7,             0.660018
               -0.69,             0.609187
               -0.68,             0.560453
               -0.67,             0.513838
               -0.66,             0.469363
               -0.65,             0.427049
               -0.64,             0.386916
               -0.63,             0.348981
               -0.62,             0.313261
               -0.61,             0.279774
                -0.6,             0.248537
               -0.59,             0.219573
               -0.58,             0.192904
               -0.57,             0.168563
               -0.56,             0.146594
               -0.55,             0.127059
               -0.54,             0.110048
               -0.53,            0.0956936
               -0.52,            0.0841902
               -0.51,            0.0758205
                -0.5,            0.0709895
               -0.49,            0.0702629
               -0.48,            0.0743976
               -0.47,            0.0843342
               -0.46,             0.101253
               -0.45,             0.126458
               -0.44,             0.161204
               -0.43,             0.206532
               -0.42,              0.26314
               -0.41,             0.331328
                -0.4,             0.411043
               -0.39,             0.501973
               -0.38,             0.603655
               -0.37,             0.715569
               -0.36,              0.83721
               -0.35,             0.968118
               -0.34,               1.1079
               -0.33,              1.25624
               -0.32,              1.42658
               -0.31,              1.65512
                -0.3,              1.88206
               -0.29,              2.11521
               -0.28,              2.35672
               -0.27,              2.60738
               -0.26,               2.8674
               -0.25,              3.13658
               -0.24,              3.41444
               -0.23,              3.70034
               -0.22,              3.99344
               -0.21,              4.29286
                -0.2,              4.59767
               -0.19,              4.90693
               -0.18,              5.21977
               -0.17,              5.53537
               -0.16,                5.853
               -0.15,              6.17202
               -0.14,              6.49186
               -0.13,              6.81205
               -0.12,               7.1322
               -0.11,              7.45196
                -0.1,              7.77107
               -0.09,              8.08929
               -0.08,              8.40645
               -0.07,              8.72239
               -0.06,                9.037
               -0.05,              9.35019
               -0.04,              9.66188
               -0.03,              9.97202
               -0.02,              10.2806
               -0.01,              10.5875
                   0,              10.8927
                0.01,              11.1962
                0.02,              11.4981
                0.03,              11.7982
                0.04,              12.0965
                0.05,               12.393
                0.06,              12.6876
                0.07,              12.9802
                0.08,              13.2706
                0.09,              13.5587
                 0.1,              13.8441
                0.11,              14.1264
                0.12,               14.405
                0.13,              14.6792
                0.14,              14.9478
                0.15,              15.2096
                0.16,              15.4631
                0.17,              15.7066
                0.18,              15.9387
                0.19,              16.1578
                 0.2,               16.363
                0.21,               16.554
                0.22,              16.7308
                0.23,              16.8941
                0.24,              17.0447
                0.25,               17.184
                0.26,              17.3129
                0.27,              17.4328
                0.28,              17.5447
                0.29,              17.6495
                 0.3,              17.7482
                0.31,              17.8415
                0.32,              17.9301
                0.33,              18.0145
                0.34,              18.0954
                0.35,               18.173
                0.36,              18.2479
                0.37,              18.3203
                0.38,              18.3905
                0.39,              18.4586
                 0.4,               18.525
                0.41,              18.5899
                0.42,              18.6536
                0.43,              18.7161
                0.44,              18.7777
                0.45,              18.8384
                0.46,              18.8983
                0.47,              18.9577
                0.48,              19.0166
                0.49,               19.075
                 0.5,              19.1331
                0.51,               19.191
                0.52,              19.2486
                0.53,              19.3061
                0.54,              19.3636
                0.55,               19.421
                0.56,              19.4785
                0.57,              19.5361
                0.58,              19.5938
                0.59,              19.6516
                 0.6,              19.7097
                0.61,               19.768
                0.62,              19.8266
                0.63,              19.8855
                0.64,              19.9447
                0.65,              20.0042
                0.66,              20.0641
                0.67,              20.1244
                0.68,              20.1851
                0.69,              20.2462
                 0.7,              20.3076
                0.71,              20.3695
                0.72,              20.4318
                0.73,              20.4945
                0.74,              20.5577
                0.75,              20.6212
                0.76,              20.6852
                0.77,              20.7495
                0.78,              20.8143
                0.79,              20.8794
                 0.8,              20.9449
                0.81,              21.0107
                0.82,              21.0769
                0.83,              21.1434
                0.84,              21.2103
                0.85,              21.2774
                0.86,              21.3448
                0.87,              21.4125
                0.88,              21.4804
                0.89,              21.5486
                 0.9,               21.617
                0.91,              21.6856
                0.92,              21.7543
                0.93,              21.8232
                0.94,              21.8923
                0.95,              21.9615
                0.96,              22.0307
                0.97,              22.1001
                0.98,              22.1696
                0.99,              22.2391
                   1,              22.3087
                1.01,              22.3783
                1.02,              22.4479
                1.03,              22.5176
                1.04,              22.5872
                1.05,              22.6568
                1.06,              22.7264
                1.07,               22.796
                1.08,              22.8655
                1.09,              22.9349
                 1.1,              23.0043
                1.11,              23.0736
                1.12,              23.1428
                1.13,              23.2119
                1.14,              23.2809
                1.15,              23.3499
                1.16,              23.4187
                1.17,              23.4874
                1.18,              23.5559
                1.19,              23.6242
                 1.2,              23.6926
                1.21,              23.7607
                1.22,              23.8287
                1.23,              23.8966
                1.24,              23.9643
                1.25,              24.0319
                1.26,              24.0992
                1.27,              24.1664
                1.28,              24.2335
                1.29,              24.3004
                 1.3,              24.3671
                1.31,              24.4337
                1.32,                 24.5
                1.33,              24.5662
                1.34,              24.6322
                1.35,              24.6981
                1.36,              24.7637
                1.37,              24.8292
                1.38,              24.8945
                1.39,              24.9596
                 1.4,              25.0245
                1.41,              25.0893
                1.42,              25.1538
                1.43,              25.2181
                1.44,              25.2824
                1.45,              25.3463
                1.46,                25.41
                1.47,              25.4737
                1.48,               25.537
                1.49,              25.6002

