------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              7.96687
               -1.48,              7.90678
               -1.47,              7.84654
               -1.46,              7.78639
               -1.45,              7.72625
               -1.44,              7.66608
               -1.43,              7.60606
               -1.42,              7.54602
               -1.41,              7.48603
                -1.4,               7.4261
               -1.39,              7.36623
               -1.38,              7.30643
               -1.37,              7.24671
               -1.36,              7.18708
               -1.35,              7.12755
               -1.34,              7.06814
               -1.33,              7.00885
               -1.32,              6.94968
               -1.31,              6.89065
                -1.3,              6.83179
               -1.29,              6.77309
               -1.28,              6.71458
               -1.27,              6.65624
               -1.26,              6.59812
               -1.25,              6.54021
               -1.24,              6.48254
               -1.23,               6.4251
               -1.22,              6.36787
               -1.21,              6.31104
                -1.2,              6.25443
               -1.19,              6.19812
               -1.18,               6.1421
               -1.17,              6.08643
               -1.16,              6.03107
               -1.15,              5.97605
               -1.14,              5.92142
               -1.13,              5.86712
               -1.12,              5.81319
               -1.11,              5.75963
                -1.1,              5.70647
               -1.09,              5.65368
               -1.08,              5.60127
               -1.07,              5.54927
               -1.06,              5.49762
               -1.05,              5.44638
               -1.04,              5.39551
               -1.03,              5.34505
               -1.02,              5.29494
               -1.01,              5.24524
                  -1,              5.19587
               -0.99,              5.14688
               -0.98,              5.09825
               -0.97,              5.04997
               -0.96,                5.002
               -0.95,              4.95439
               -0.94,                4.907
               -0.93,              4.85992
               -0.92,              4.81306
               -0.91,               4.7664
                -0.9,               4.7199
               -0.89,               4.6735
               -0.88,              4.62714
               -0.87,              4.58077
               -0.86,               4.5343
               -0.85,              4.48766
               -0.84,              4.44076
               -0.83,              4.39351
               -0.82,              4.34578
               -0.81,              4.29747
                -0.8,              4.24845
               -0.79,              4.19858
               -0.78,              4.14776
               -0.77,               4.0958
               -0.76,              4.04253
               -0.75,              3.98773
               -0.74,              3.93117
               -0.73,              3.87272
               -0.72,              3.81206
               -0.71,                3.749
                -0.7,              3.68333
               -0.69,              3.61488
               -0.68,               3.5435
               -0.67,              3.46915
               -0.66,              3.39184
               -0.65,              3.31167
               -0.64,              3.22884
               -0.63,              3.14366
               -0.62,              3.05647
               -0.61,              2.96768
                -0.6,               2.8777
               -0.59,              2.78694
               -0.58,              2.69577
               -0.57,              2.60453
               -0.56,              2.51351
               -0.55,              2.42296
               -0.54,              2.33308
               -0.53,              2.24406
               -0.52,              2.15603
               -0.51,               2.0691
                -0.5,              1.98339
               -0.49,              1.89897
               -0.48,              1.81592
               -0.47,               1.7343
               -0.46,              1.65417
               -0.45,              1.57558
               -0.44,              1.49858
               -0.43,              1.42321
               -0.42,              1.34952
               -0.41,              1.27754
                -0.4,              1.20732
               -0.39,              1.13889
               -0.38,              1.07228
               -0.37,              1.00755
               -0.36,             0.944706
               -0.35,             0.883788
               -0.34,             0.824832
               -0.33,              0.76786
               -0.32,              0.71292
               -0.31,             0.660018
                -0.3,             0.609187
               -0.29,             0.560453
               -0.28,             0.513838
               -0.27,             0.469363
               -0.26,             0.427049
               -0.25,             0.386916
               -0.24,             0.348981
               -0.23,             0.313261
               -0.22,             0.279774
               -0.21,             0.248537
                -0.2,             0.219573
               -0.19,             0.192904
               -0.18,             0.168563
               -0.17,             0.146594
               -0.16,             0.127059
               -0.15,             0.110048
               -0.14,            0.0956936
               -0.13,            0.0841902
               -0.12,            0.0758205
               -0.11,            0.0709895
                -0.1,            0.0702629
               -0.09,            0.0743976
               -0.08,            0.0843342
               -0.07,             0.101253
               -0.06,             0.126458
               -0.05,             0.161204
               -0.04,             0.206532
               -0.03,              0.26314
               -0.02,             0.331328
               -0.01,             0.411043
                   0,             0.501973
                0.01,             0.603655
                0.02,             0.715569
                0.03,              0.83721
                0.04,             0.968118
                0.05,               1.1079
                0.06,              1.25624
                0.07,              1.42658
                0.08,              1.65512
                0.09,              1.88206
                 0.1,              2.11521
                0.11,              2.35672
                0.12,              2.60738
                0.13,               2.8674
                0.14,              3.13658
                0.15,              3.41444
                0.16,              3.70034
                0.17,              3.99344
                0.18,              4.29286
                0.19,              4.59767
                 0.2,              4.90693
                0.21,              5.21977
                0.22,              5.53537
                0.23,                5.853
                0.24,              6.17202
                0.25,              6.49186
                0.26,              6.81205
                0.27,               7.1322
                0.28,              7.45196
                0.29,              7.77107
                 0.3,              8.08929
                0.31,              8.40645
                0.32,              8.72239
                0.33,                9.037
                0.34,              9.35019
                0.35,              9.66188
                0.36,              9.97202
                0.37,              10.2806
                0.38,              10.5875
                0.39,              10.8927
                 0.4,              11.1962
                0.41,              11.4981
                0.42,              11.7982
                0.43,              12.0965
                0.44,               12.393
                0.45,              12.6876
                0.46,              12.9802
                0.47,              13.2706
                0.48,              13.5587
                0.49,              13.8441
                 0.5,              14.1264
                0.51,               14.405
                0.52,              14.6792
                0.53,              14.9478
                0.54,              15.2096
                0.55,              15.4631
                0.56,              15.7066
                0.57,              15.9387
                0.58,              16.1578
                0.59,               16.363
                 0.6,               16.554
                0.61,              16.7308
                0.62,              16.8941
                0.63,              17.0447
                0.64,               17.184
                0.65,              17.3129
                0.66,              17.4328
                0.67,              17.5447
                0.68,              17.6495
                0.69,              17.7482
                 0.7,              17.8415
                0.71,              17.9301
                0.72,              18.0145
                0.73,              18.0954
                0.74,               18.173
                0.75,              18.2479
                0.76,              18.3203
                0.77,              18.3905
                0.78,              18.4586
                0.79,               18.525
                 0.8,              18.5899
                0.81,              18.6536
                0.82,              18.7161
                0.83,              18.7777
                0.84,              18.8384
                0.85,              18.8983
                0.86,              18.9577
                0.87,              19.0166
                0.88,               19.075
                0.89,              19.1331
                 0.9,               19.191
                0.91,              19.2486
                0.92,              19.3061
                0.93,              19.3636
                0.94,               19.421
                0.95,              19.4785
                0.96,              19.5361
                0.97,              19.5938
                0.98,              19.6516
                0.99,              19.7097
                   1,               19.768
                1.01,              19.8266
                1.02,              19.8855
                1.03,              19.9447
                1.04,              20.0042
                1.05,              20.0641
                1.06,              20.1244
                1.07,              20.1851
