------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              6.25443
               -1.48,              6.19812
               -1.47,               6.1421
               -1.46,              6.08643
               -1.45,              6.03107
               -1.44,              5.97605
               -1.43,              5.92142
               -1.42,              5.86712
               -1.41,              5.81319
                -1.4,              5.75963
               -1.39,              5.70647
               -1.38,              5.65368
               -1.37,              5.60127
               -1.36,              5.54927
               -1.35,              5.49762
               -1.34,              5.44638
               -1.33,              5.39551
               -1.32,              5.34505
               -1.31,              5.29494
                -1.3,              5.24524
               -1.29,              5.19587
               -1.28,              5.14688
               -1.27,              5.09825
               -1.26,              5.04997
               -1.25,                5.002
               -1.24,              4.95439
               -1.23,                4.907
               -1.22,              4.85992
               -1.21,              4.81306
                -1.2,               4.7664
               -1.19,               4.7199
               -1.18,               4.6735
               -1.17,              4.62714
               -1.16,              4.58077
               -1.15,               4.5343
               -1.14,              4.48766
               -1.13,              4.44076
               -1.12,              4.39351
               -1.11,              4.34578
                -1.1,              4.29747
               -1.09,              4.24845
               -1.08,              4.19858
               -1.07,              4.14776
               -1.06,               4.0958
               -1.05,              4.04253
               -1.04,              3.98773
               -1.03,              3.93117
               -1.02,              3.87272
               -1.01,              3.81206
                  -1,                3.749
               -0.99,              3.68333
               -0.98,              3.61488
               -0.97,               3.5435
               -0.96,              3.46915
               -0.95,              3.39184
               -0.94,              3.31167
               -0.93,              3.22884
               -0.92,              3.14366
               -0.91,              3.05647
                -0.9,              2.96768
               -0.89,               2.8777
               -0.88,              2.78694
               -0.87,              2.69577
               -0.86,              2.60453
               -0.85,              2.51351
               -0.84,              2.42296
               -0.83,              2.33308
               -0.82,              2.24406
               -0.81,              2.15603
                -0.8,               2.0691
               -0.79,              1.98339
               -0.78,              1.89897
               -0.77,              1.81592
               -0.76,               1.7343
               -0.75,              1.65417
               -0.74,              1.57558
               -0.73,              1.49858
               -0.72,              1.42321
               -0.71,              1.34952
                -0.7,              1.27754
               -0.69,              1.20732
               -0.68,              1.13889
               -0.67,              1.07228
               -0.66,              1.00755
               -0.65,             0.944706
               -0.64,             0.883788
               -0.63,             0.824832
               -0.62,              0.76786
               -0.61,              0.71292
                -0.6,             0.660018
               -0.59,             0.609187
               -0.58,             0.560453
               -0.57,             0.513838
               -0.56,             0.469363
               -0.55,             0.427049
               -0.54,             0.386916
               -0.53,             0.348981
               -0.52,             0.313261
               -0.51,             0.279774
                -0.5,             0.248537
               -0.49,             0.219573
               -0.48,             0.192904
               -0.47,             0.168563
               -0.46,             0.146594
               -0.45,             0.127059
               -0.44,             0.110048
               -0.43,            0.0956936
               -0.42,            0.0841902
               -0.41,            0.0758205
                -0.4,            0.0709895
               -0.39,            0.0702629
               -0.38,            0.0743976
               -0.37,            0.0843342
               -0.36,             0.101253
               -0.35,             0.126458
               -0.34,             0.161204
               -0.33,             0.206532
               -0.32,              0.26314
               -0.31,             0.331328
                -0.3,             0.411043
               -0.29,             0.501973
               -0.28,             0.603655
               -0.27,             0.715569
               -0.26,              0.83721
               -0.25,             0.968118
               -0.24,               1.1079
               -0.23,              1.25624
               -0.22,              1.42658
               -0.21,              1.65512
                -0.2,              1.88206
               -0.19,              2.11521
               -0.18,              2.35672
               -0.17,              2.60738
               -0.16,               2.8674
               -0.15,              3.13658
               -0.14,              3.41444
               -0.13,              3.70034
               -0.12,              3.99344
               -0.11,              4.29286
                -0.1,              4.59767
               -0.09,              4.90693
               -0.08,              5.21977
               -0.07,              5.53537
               -0.06,                5.853
               -0.05,              6.17202
               -0.04,              6.49186
               -0.03,              6.81205
               -0.02,               7.1322
               -0.01,              7.45196
                   0,              7.77107
                0.01,              8.08929
                0.02,              8.40645
                0.03,              8.72239
                0.04,                9.037
                0.05,              9.35019
                0.06,              9.66188
                0.07,              9.97202
                0.08,              10.2806
                0.09,              10.5875
                 0.1,              10.8927
                0.11,              11.1962
                0.12,              11.4981
                0.13,              11.7982
                0.14,              12.0965
                0.15,               12.393
                0.16,              12.6876
                0.17,              12.9802
                0.18,              13.2706
                0.19,              13.5587
                 0.2,              13.8441
                0.21,              14.1264
                0.22,               14.405
                0.23,              14.6792
                0.24,              14.9478
                0.25,              15.2096
                0.26,              15.4631
                0.27,              15.7066
                0.28,              15.9387
                0.29,              16.1578
                 0.3,               16.363
                0.31,               16.554
                0.32,              16.7308
                0.33,              16.8941
                0.34,              17.0447
                0.35,               17.184
                0.36,              17.3129
                0.37,              17.4328
                0.38,              17.5447
                0.39,              17.6495
                 0.4,              17.7482
                0.41,              17.8415
                0.42,              17.9301
                0.43,              18.0145
                0.44,              18.0954
                0.45,               18.173
                0.46,              18.2479
                0.47,              18.3203
                0.48,              18.3905
                0.49,              18.4586
                 0.5,               18.525
                0.51,              18.5899
                0.52,              18.6536
                0.53,              18.7161
                0.54,              18.7777
                0.55,              18.8384
                0.56,              18.8983
                0.57,              18.9577
                0.58,              19.0166
                0.59,               19.075
                 0.6,              19.1331
                0.61,               19.191
                0.62,              19.2486
                0.63,              19.3061
                0.64,              19.3636
                0.65,               19.421
                0.66,              19.4785
                0.67,              19.5361
                0.68,              19.5938
                0.69,              19.6516
                 0.7,              19.7097
                0.71,               19.768
                0.72,              19.8266
                0.73,              19.8855
                0.74,              19.9447
                0.75,              20.0042
                0.76,              20.0641
                0.77,              20.1244
                0.78,              20.1851
                0.79,              20.2462
                 0.8,              20.3076
                0.81,              20.3695
                0.82,              20.4318
                0.83,              20.4945
                0.84,              20.5577
                0.85,              20.6212
                0.86,              20.6852
                0.87,              20.7495
                0.88,              20.8143
                0.89,              20.8794
                 0.9,              20.9449
                0.91,              21.0107
                0.92,              21.0769
                0.93,              21.1434
                0.94,              21.2103
                0.95,              21.2774
                0.96,              21.3448
                0.97,              21.4125
                0.98,              21.4804
                0.99,              21.5486
                   1,               21.617
                1.01,              21.6856
                1.02,              21.7543
                1.03,              21.8232
                1.04,              21.8923
                1.05,              21.9615
                1.06,              22.0307
                1.07,              22.1001
                1.08,              22.1696
                1.09,              22.2391
                 1.1,              22.3087
                1.11,              22.3783
                1.12,              22.4479
                1.13,              22.5176
                1.14,              22.5872
                1.15,              22.6568
                1.16,              22.7264
                1.17,               22.796
                1.18,              22.8655
                1.19,              22.9349
                 1.2,              23.0043
                1.21,              23.0736
                1.22,              23.1428
                1.23,              23.2119
                1.24,              23.2809
                1.25,              23.3499
                1.26,              23.4187
                1.27,              23.4874
                1.28,              23.5559
                1.29,              23.6242
                 1.3,              23.6926
                1.31,              23.7607
                1.32,              23.8287
                1.33,              23.8966
                1.34,              23.9643
                1.35,              24.0319
                1.36,              24.0992
                1.37,              24.1664
                1.38,              24.2335
                1.39,              24.3004
                 1.4,              24.3671
                1.41,              24.4337
                1.42,                 24.5
                1.43,              24.5662
                1.44,              24.6322
                1.45,              24.6981
                1.46,              24.7637
                1.47,              24.8292
                1.48,              24.8945
                1.49,              24.9596

