------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
                1.24,               19.421
                1.25,              19.4785
                1.26,              19.5361
                1.27,              19.5938
                1.28,              19.6516
                1.29,              19.7097
                 1.3,               19.768
                1.31,              19.8266
                1.32,              19.8855
                1.33,              19.9447
                1.34,              20.0042
                1.35,              20.0641
                1.36,              20.1244
                1.37,              20.1851
                1.38,              20.2462
                1.39,              20.3076
                 1.4,              20.3695
                1.41,              20.4318
                1.42,              20.4945
                1.43,              20.5577
                1.44,              20.6212
                1.45,              20.6852
                1.46,              20.7495
                1.47,              20.8143
                1.48,              20.8794
                1.49,              20.9449

