------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                0.75,          1.74945e-05
                0.76,           1.8198e-05
                0.77,          1.89069e-05
                0.78,          1.96208e-05
                0.79,          2.03394e-05
                 0.8,          2.10626e-05
                0.81,          2.17901e-05
                0.82,          2.25217e-05
                0.83,          2.32572e-05
                0.84,          2.39964e-05
                0.85,          2.47392e-05
                0.86,          2.54854e-05
                0.87,          2.62348e-05
                0.88,          2.69873e-05
                0.89,          2.77428e-05
                 0.9,          2.85012e-05
                0.91,          2.92622e-05
                0.92,          3.00259e-05
                0.93,          3.07921e-05
                0.94,          3.15607e-05
                0.95,          3.23316e-05
                0.96,          3.31047e-05
                0.97,            3.388e-05
                0.98,          3.46573e-05
                0.99,          3.54366e-05
                   1,          3.62178e-05
                1.01,          3.70009e-05
                1.02,          3.77858e-05
                1.03,          3.85724e-05
                1.04,          3.93606e-05
                1.05,          4.01505e-05
                1.06,          4.09419e-05
                1.07,          4.17348e-05
                1.08,          4.25292e-05
                1.09,          4.33249e-05
                 1.1,          4.41221e-05
                1.11,          4.49205e-05
                1.12,          4.57203e-05
                1.13,          4.65212e-05
                1.14,          4.73234e-05
                1.15,          4.81268e-05
                1.16,          4.89313e-05
                1.17,          4.97369e-05
                1.18,          5.05435e-05
                1.19,          5.13512e-05
                 1.2,          5.21599e-05
                1.21,          5.29696e-05
                1.22,          5.37803e-05
                1.23,          5.45919e-05
                1.24,          5.54044e-05
                1.25,          5.62178e-05
                1.26,           5.7032e-05
                1.27,          5.78471e-05
                1.28,           5.8663e-05
                1.29,          5.94797e-05
                 1.3,          6.02972e-05
                1.31,          6.11154e-05
                1.32,          6.19344e-05
                1.33,          6.27541e-05
                1.34,          6.35745e-05
                1.35,          6.43956e-05
                1.36,          6.52173e-05
                1.37,          6.60397e-05
                1.38,          6.68628e-05
                1.39,          6.76865e-05
                 1.4,          6.85107e-05
                1.41,          6.93356e-05
                1.42,          7.01611e-05
                1.43,          7.09872e-05
                1.44,          7.18138e-05
                1.45,          7.26409e-05
                1.46,          7.34686e-05
                1.47,          7.42968e-05
                1.48,          7.51255e-05
                1.49,          7.59548e-05
                 1.5,          7.67845e-05

------------------------------------------------------------
 Ids vs. Vfg (pH = 3)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                -1.5,           1.2761e-06
               -1.49,          1.26625e-06
               -1.48,           1.2564e-06
               -1.47,          1.24654e-06
               -1.46,          1.23668e-06
               -1.45,          1.22681e-06
               -1.44,          1.21694e-06
               -1.43,          1.20707e-06
               -1.42,          1.19719e-06
               -1.41,          1.18731e-06
                -1.4,          1.17742e-06
               -1.39,          1.16753e-06
               -1.38,          1.15764e-06
               -1.37,          1.14774e-06
               -1.36,          1.13784e-06
               -1.35,          1.12793e-06
               -1.34,          1.11801e-06
               -1.33,          1.10809e-06
               -1.32,          1.09817e-06
               -1.31,          1.08824e-06
                -1.3,           1.0783e-06
               -1.29,          1.06836e-06
               -1.28,          1.05841e-06
               -1.27,          1.04846e-06
               -1.26,           1.0385e-06
               -1.25,          1.02853e-06
               -1.24,          1.01856e-06
               -1.23,          1.00857e-06
               -1.22,          9.98583e-07
               -1.21,          9.88585e-07
                -1.2,          9.78579e-07
               -1.19,          9.68563e-07
               -1.18,          9.58539e-07
               -1.17,          9.48506e-07
               -1.16,          9.38463e-07
               -1.15,           9.2841e-07
               -1.14,          9.18346e-07
               -1.13,          9.08271e-07
               -1.12,          8.98185e-07
               -1.11,          8.88086e-07
                -1.1,          8.77975e-07
               -1.09,          8.67851e-07
               -1.08,          8.57713e-07
               -1.07,          8.47561e-07
               -1.06,          8.37394e-07
               -1.05,          8.27211e-07
               -1.04,          8.17011e-07
               -1.03,          8.06793e-07
               -1.02,          7.96557e-07
               -1.01,          7.86302e-07
                  -1,          7.76026e-07
               -0.99,          7.65728e-07
               -0.98,          7.55407e-07
               -0.97,          7.45062e-07
               -0.96,          7.34691e-07
               -0.95,          7.24292e-07
               -0.94,          7.13864e-07
               -0.93,          7.03405e-07
               -0.92,          6.92913e-07
               -0.91,          6.82385e-07
                -0.9,          6.71819e-07
               -0.89,          6.61212e-07
               -0.88,           6.5056e-07
               -0.87,          6.39861e-07
               -0.86,          6.29111e-07
               -0.85,          6.18304e-07
               -0.84,          6.07436e-07
               -0.83,          5.96502e-07
               -0.82,          5.85495e-07
               -0.81,          5.74407e-07
                -0.8,           5.6323e-07
               -0.79,          5.51954e-07
               -0.78,          5.40568e-07
               -0.77,          5.29057e-07
               -0.76,          5.17406e-07
               -0.75,          5.05593e-07
               -0.74,          4.93595e-07
               -0.73,          4.81379e-07
               -0.72,          4.68908e-07
               -0.71,          4.56129e-07
                -0.7,          4.42972e-07
               -0.69,          4.29339e-07
               -0.68,          4.15085e-07
               -0.67,          3.99983e-07
               -0.66,          3.83631e-07
               -0.65,          3.65197e-07
               -0.64,          3.42221e-07
               -0.63,                    0
               -0.62,                    0
               -0.61,                    0
                -0.6,                    0
               -0.59,                    0
               -0.58,                    0
               -0.57,                    0
               -0.56,                    0
               -0.55,                    0
               -0.54,                    0
               -0.53,                    0
               -0.52,                    0
               -0.51,                    0
                -0.5,                    0
               -0.49,                    0
               -0.48,                    0
               -0.47,                    0
               -0.46,                    0
               -0.45,                    0
               -0.44,                    0
               -0.43,                    0
               -0.42,                    0
               -0.41,                    0
                -0.4,                    0
               -0.39,                    0
               -0.38,                    0
               -0.37,                    0
               -0.36,                    0
               -0.35,                    0
               -0.34,                    0
               -0.33,                    0
               -0.32,                    0
               -0.31,          2.13891e-07
                -0.3,          2.10422e-07
               -0.29,          2.06896e-07
